年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,平均価格（住宅地）,55.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,専用住宅面積あたり家賃,
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,一戸建の持ち家の割合,
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,駅・バス停留所徒歩圏人口カバー率,46.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,駅・バス停徒歩圏人口密度,61.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,人口あたり小型車走行キロ,28.4
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,通勤通学に自家用車等を用いない割合,41.4
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,職場までの平均通勤時間,
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,人口あたり娯楽業事業所数,80.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,保育所への距離1kmの住宅割合,
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,可住地面積あたり幼稚園数,41.8
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,一施設当たり幼稚園児数,58.3
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,人口あたり待機児童数,51.9
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,歳出総額の教育費割合,36.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,合計特殊出生率,58.9
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,可住地面積あたり小学校数,41.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,可住地面積あたり中学校数,44.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,可住地面積あたり高等学校数,43.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,一施設当たり小学生数,71.2
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,一施設当たり中学生数,78.7
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,一施設当たり高校生数,
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,人口あたり体育施設利用者数,49.6
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,人口あたり図書館帯出者数,32.2
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,人口あたり博物館入館者数,50.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,財政指数,42.5
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,自治体DX指数,20.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,デジタル政策指数,32.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,デジタル生活指数,39.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,公園緑地徒歩圏人口カバー率,20.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,人口あたり公園面積,80.0
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,歩道設置率,45.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,ウォーカブル指数,38.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,都市景観指数,35.6
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,自然景観指数,54.9
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,食料供給ポテンシャル,43.1
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,水供給ポテンシャル,61.7
2023年度版(令和5年度版),全国調査,"長野県 野沢温泉村",客観データ,生活環境,木材供給ポテンシャル,67.9
