年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,歳出総額の教育費割合,63.4
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,合計特殊出生率,79.3
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,可住地面積あたり小学校数,43.7
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,可住地面積あたり中学校数,44.6
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,可住地面積あたり高等学校数,43.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,一施設当たり小学生数,53.2
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,一施設当たり中学生数,56.7
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,一施設当たり高校生数,
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,人口あたり体育施設利用者数,49.8
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,人口あたり図書館帯出者数,37.8
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,人口あたり博物館入館者数,53.8
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,財政指数,44.9
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,自治体DX指数,23.5
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,デジタル政策指数,44.6
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,デジタル生活指数,40.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,公園緑地徒歩圏人口カバー率,20.0
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,人口あたり公園面積,50.9
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,歩道設置率,67.6
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,ウォーカブル指数,38.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,都市景観指数,46.2
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,自然景観指数,41.6
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,食料供給ポテンシャル,60.2
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,水供給ポテンシャル,70.2
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,木材供給ポテンシャル,41.5
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,炭素吸収量,43.9
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,蒸発散量,58.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,地下水涵養量,43.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,土壌流出防止量,50.0
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,窒素除去量,
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,リン酸除去量,
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,NO2吸収量,43.2
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,SO2吸収量,47.4
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,洪水調整量,
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,"表層崩壊への安全性",46.2
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,緑地へのアクセス度,63.3
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,水域へのアクセス度,41.0
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,オートキャンプ場への立地,52.6
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,NOx濃度,
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,PM2.5濃度,
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,ゴミのリサイクル率,37.4
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,人口あたりCO2排出量,53.0
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,"人口あたり再生可能エネルギー発電容量",49.8
