年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,駅・バス停留所徒歩圏人口カバー率,37.9
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,駅・バス停徒歩圏人口密度,60.5
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,人口あたり小型車走行キロ,30.5
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,通勤通学に自家用車等を用いない割合,39.8
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,職場までの平均通勤時間,61.1
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,人口あたり娯楽業事業所数,57.3
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,保育所への距離1kmの住宅割合,30.9
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,可住地面積あたり幼稚園数,43.2
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,一施設当たり幼稚園児数,67.2
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,人口あたり待機児童数,51.9
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,歳出総額の教育費割合,41.9
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,合計特殊出生率,66.5
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,可住地面積あたり小学校数,42.6
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,可住地面積あたり中学校数,42.6
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,可住地面積あたり高等学校数,44.7
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,一施設当たり小学生数,70.3
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,一施設当たり中学生数,65.3
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,一施設当たり高校生数,64.9
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,人口あたり体育施設利用者数,62.8
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,人口あたり図書館帯出者数,48.7
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,人口あたり博物館入館者数,65.0
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,財政指数,29.2
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,自治体DX指数,43.1
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,デジタル政策指数,55.6
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,デジタル生活指数,49.5
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,公園緑地徒歩圏人口カバー率,24.0
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,人口あたり公園面積,50.6
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,歩道設置率,28.0
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,ウォーカブル指数,38.1
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,都市景観指数,46.2
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,自然景観指数,68.2
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,食料供給ポテンシャル,43.2
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,水供給ポテンシャル,54.4
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,木材供給ポテンシャル,57.3
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,炭素吸収量,67.8
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,蒸発散量,53.7
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,地下水涵養量,58.7
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,土壌流出防止量,64.6
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,窒素除去量,62.0
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,リン酸除去量,62.1
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,NO2吸収量,51.5
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,SO2吸収量,61.6
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,洪水調整量,48.3
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,"表層崩壊への安全性",58.9
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,緑地へのアクセス度,68.6
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,水域へのアクセス度,57.1
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,オートキャンプ場への立地,58.0
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,NOx濃度,64.1
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,PM2.5濃度,51.1
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,ゴミのリサイクル率,39.8
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,人口あたりCO2排出量,50.8
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,"人口あたり再生可能エネルギー発電容量",49.4
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,環境政策指数,45.3
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,外水氾濫,41.7
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,高潮,53.6
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,土砂災害,30.6
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,地震動,63.9
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,津波,52.1
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,ハード対策,53.4
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,避難・救助,50.3
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,要配慮者支援,54.7
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,防災教育,61.8
2023年度版(令和5年度版),全国調査,"兵庫県 豊岡市",客観データ,生活環境,防災まちづくり,39.4
