年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,自分らしい生き方,事業創造,44.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,医療施設徒歩圏人口カバー率,40.7
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,医療施設徒歩圏平均人口密度,58.4
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり国民健康保険者医療費,59.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり後期高齢医療費,62.9
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,特定健診実施率,58.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,福祉施設徒歩圏人口カバー率,57.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,福祉施設徒歩圏平均人口密度,58.7
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり児童福祉施設数,43.4
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり障害者施設数,
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり認知症サポーターメイト・サポーター数,34.8
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,商業施設徒歩圏人口カバー率,40.7
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,商業施設徒歩圏平均人口密度,61.3
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,可住地面積あたり飲食店数,45.8
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり飲食店数,50.9
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,住宅当たり延べ面積,
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,平均価格（住宅地）,54.6
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,専用住宅面積あたり家賃,
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,一戸建の持ち家の割合,
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,駅・バス停留所徒歩圏人口カバー率,42.8
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,駅・バス停徒歩圏人口密度,58.6
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり小型車走行キロ,20.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,通勤通学に自家用車等を用いない割合,40.5
