年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,可住地面積あたり中学校数,42.8
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,可住地面積あたり高等学校数,44.8
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,一施設当たり小学生数,71.2
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,一施設当たり中学生数,70.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,一施設当たり高校生数,77.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,人口あたり体育施設利用者数,53.4
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,人口あたり図書館帯出者数,43.2
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,人口あたり博物館入館者数,45.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,財政指数,43.8
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,自治体DX指数,24.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,デジタル政策指数,37.8
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,デジタル生活指数,41.4
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,公園緑地徒歩圏人口カバー率,22.2
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,人口あたり公園面積,71.9
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,歩道設置率,41.9
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,ウォーカブル指数,38.1
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,都市景観指数,46.2
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,自然景観指数,41.6
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,食料供給ポテンシャル,56.4
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,水供給ポテンシャル,55.0
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,木材供給ポテンシャル,74.6
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,炭素吸収量,62.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,蒸発散量,65.2
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,地下水涵養量,54.3
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,土壌流出防止量,60.5
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,窒素除去量,57.6
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,リン酸除去量,57.1
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,NO2吸収量,49.0
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,SO2吸収量,60.2
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,洪水調整量,50.6
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,"表層崩壊への安全性",48.1
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,緑地へのアクセス度,70.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,水域へのアクセス度,45.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,オートキャンプ場への立地,57.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,NOx濃度,60.8
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,PM2.5濃度,46.3
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,ゴミのリサイクル率,64.9
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,人口あたりCO2排出量,53.8
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,"人口あたり再生可能エネルギー発電容量",70.8
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,環境政策指数,45.3
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,外水氾濫,52.4
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,高潮,56.3
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,土砂災害,22.1
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,地震動,80.0
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,津波,55.8
