5歳階級別　県内市町村間の移動状況,神山町
0～4,2
5～9,4
10～14,4
15～19,6
20～24,3
25～29,3
30～34,4
35～39,5
40～44,6
45～49,2
50～54,4
55～59,3
60～64,6
65～69,1
70～74,3
75～79,0
80～84,1
85～89,1
90～94,0
95～99,0
100以上,0
年齢不詳,0
